t(s),T(K),p(MPa),sigma(1/(Ohm*cm)),q(W/cm3),Rd(Ohm),Fr(W/cm)
1.793793103448275460e-04,1.171135876863973681e+04,1.759896850585937367e+00,5.010954268326835859e+01,2.390948000975913310e+05,1.219637914749805763e+00,2.988685001219891637e+04
1.823862068965516879e-04,1.171349247482991268e+04,1.760433959960937322e+00,5.013715501456064771e+01,2.394459124990527052e+05,1.218966216362673105e+00,2.993073906238158816e+04
1.853931034482758297e-04,1.171446213800819532e+04,1.760702514648437189e+00,5.014968150809330893e+01,2.396079934663762979e+05,1.218661740402574800e+00,2.995099918329703723e+04
1.883999999999999716e-04,1.171421279536097427e+04,1.760635375976562278e+00,5.014645861856558184e+01,2.395665076901520661e+05,1.218740063224747816e+00,2.994581346126900826e+04
1.914068965517241134e-04,1.171281705395414610e+04,1.760266113281249822e+00,5.012841224990192757e+01,2.393349772576394025e+05,1.219178813057407051e+00,2.991687215720492532e+04
1.944137931034482553e-04,1.171035722555651228e+04,1.759628295898437278e+00,5.009659721261517973e+01,2.389283630919025745e+05,1.219953081601675926e+00,2.986604538648782182e+04
1.974206896551723700e-04,1.170704514905231190e+04,1.758789062499999778e+00,5.005374418024316441e+01,2.383830829770581040e+05,1.220997532716260991e+00,2.979788537213226300e+04
2.004275862068965119e-04,1.170293135455067932e+04,1.757714843749999645e+00,5.000055191151806611e+01,2.377029628856077034e+05,1.222296470955739789e+00,2.971287036070096292e+04
2.034344827586206537e-04,1.169799985842051319e+04,1.756439208984374556e+00,4.993678204645845398e+01,2.368894234651944716e+05,1.223857358097870440e+00,2.961117793314930896e+04
2.064413793103447956e-04,1.169214867736284759e+04,1.754928588867187278e+00,4.986112624521467040e+01,2.359252285045990138e+05,1.225714354038548448e+00,2.949065356307487673e+04
2.094482758620689374e-04,1.168526581442527458e+04,1.753149414062499911e+00,4.977214582198563164e+01,2.347918762106237700e+05,1.227905631512707041e+00,2.934898452632797125e+04
2.124551724137930793e-04,1.167739631614408063e+04,1.751135253906249689e+00,4.967040886461676052e+01,2.334994879226157209e+05,1.230420677910386118e+00,2.918743599032696511e+04
2.154620689655172212e-04,1.166860083091545857e+04,1.748886108398437278e+00,4.955672051014375512e+01,2.320570124861998484e+05,1.233243392988002229e+00,2.900712656077498104e+04
2.184689655172413359e-04,1.165903242198550288e+04,1.746435546874999911e+00,4.943307114994618701e+01,2.304895460007559159e+05,1.236328165043703686e+00,2.881119325009448949e+04
2.214758620689654778e-04,1.164872230132976983e+04,1.743783569335937367e+00,4.929987838195255279e+01,2.288019542794858571e+05,1.239668334955987605e+00,2.860024428493573214e+04
2.244827586206896196e-04,1.163770653173010396e+04,1.740997314453125000e+00,4.915755967143302030e+01,2.270063976130545489e+05,1.243257365820865212e+00,2.837579970163181861e+04
2.274896551724137615e-04,1.162603955026111726e+04,1.738009643554687456e+00,4.900690241517766310e+01,2.251043331599889789e+05,1.247079393623541144e+00,2.813804164499862236e+04
2.304965517241379033e-04,1.161373022386583943e+04,1.734887695312500089e+00,4.884796576512842137e+01,2.231041351911783568e+05,1.251137016455185602e+00,2.788801689889729460e+04
2.335034482758620452e-04,1.160076347614468614e+04,1.731631469726562456e+00,4.868055814247941981e+01,2.210042812989061640e+05,1.255439552858319985e+00,2.762553516236327050e+04
2.365103448275861599e-04,1.158705908546520004e+04,1.728173828125000089e+00,4.850369804258127715e+01,2.187878943719580420e+05,1.260017289684482567e+00,2.734848679649475525e+04
2.395172413793103018e-04,1.157255116073591125e+04,1.724548339843750000e+00,4.831649534300148474e+01,2.164499353500571451e+05,1.264899238105444024e+00,2.705624191875714314e+04
2.425241379310344436e-04,1.155729386667496146e+04,1.720721435546874734e+00,4.811970612439674255e+01,2.139954563250833307e+05,1.270072140284792539e+00,2.674943204063541634e+04
2.455310344827586126e-04,1.154135732801891027e+04,1.716760253906249867e+00,4.791419522453281132e+01,2.114412568496277672e+05,1.275519663032882001e+00,2.643015710620347090e+04
2.485379310344827545e-04,1.152489891745661771e+04,1.712664794921874734e+00,4.770204045820155869e+01,2.088095691915191128e+05,1.281192535167120505e+00,2.610119614893988910e+04
2.515448275862068963e-04,1.150795623605308356e+04,1.708468627929687234e+00,4.748370968054602770e+01,2.061093013502058457e+05,1.287083476806082372e+00,2.576366266877573071e+04
2.545517241379310382e-04,1.149056853954873623e+04,1.704205322265625266e+00,4.725969096445559359e+01,2.033494711258327588e+05,1.293184464393837940e+00,2.541868389072909486e+04
2.575586206896551258e-04,1.147280025818403374e+04,1.699841308593750044e+00,4.703087265913627846e+01,2.005362825448208023e+05,1.299476167287647144e+00,2.506703531810260029e+04
2.605655172413793219e-04,1.145465644049628827e+04,1.695410156249999911e+00,4.679729225652152991e+01,1.976740028627567517e+05,1.305962272609286323e+00,2.470925035784459396e+04
2.635724137931034637e-04,1.143612288563962102e+04,1.690911865234374645e+00,4.655876948724669973e+01,1.947611960797644861e+05,1.312652778850361690e+00,2.434514950997056076e+04
2.665793103448275514e-04,1.141712575904658479e+04,1.686312866210937234e+00,4.631437843948265254e+01,1.917854356630865368e+05,1.319579366203635029e+00,2.397317945788581710e+04
2.695862068965516932e-04,1.139760964528321347e+04,1.681613159179687234e+00,4.606340042773445020e+01,1.887399245036159991e+05,1.326769139485642457e+00,2.359249056295199989e+04
2.725931034482758351e-04,1.137762334736691810e+04,1.676812744140625089e+00,4.580648524857112847e+01,1.856319626402320573e+05,1.334210599561209909e+00,2.320399533002900716e+04
2.755999999999999769e-04,1.135724711453031523e+04,1.671961975097655984e+00,4.554463760062643019e+01,1.824773434067842027e+05,1.341881313958401378e+00,2.280966792584802533e+04
2.786068965517241188e-04,1.133670016120308719e+04,1.667077636718749867e+00,4.528071991969390098e+01,1.793073680342684966e+05,1.349702439706726098e+00,2.241342100428356207e+04
2.816137931034482607e-04,1.131595294762611047e+04,1.662176513671874911e+00,4.501432930838939939e+01,1.761197848490073229e+05,1.357689853126337720e+00,2.201497310612591536e+04
2.846206896551724025e-04,1.129497205715477867e+04,1.657241821289062500e+00,4.474505119391125163e+01,1.729090267325951136e+05,1.365860503375716073e+00,2.161362834157438920e+04
2.876275862068965444e-04,1.127355858188659477e+04,1.652239990234374734e+00,4.447032365427997291e+01,1.696462451053411642e+05,1.374298478743044782e+00,2.120578063816764552e+04
2.906344827586206862e-04,1.125171483491478102e+04,1.647171020507812278e+00,4.419018535901299316e+01,1.663323914479972445e+05,1.383010676483228396e+00,2.079154893099965557e+04
2.936413793103448281e-04,1.122952236494764475e+04,1.642034912109374911e+00,4.390571311478520755e+01,1.629789302576534683e+05,1.391971427215180190e+00,2.037236628220668354e+04
2.966482758620689699e-04,1.120717782987884493e+04,1.636865234374999867e+00,4.361944849737215435e+01,1.596150813622799469e+05,1.401106622220812836e+00,1.995188517028499336e+04
2.996551724137931118e-04,1.118483627846198215e+04,1.631762695312499734e+00,4.333329880214567709e+01,1.562693529238132469e+05,1.410358773430414159e+00,1.953366911547665586e+04
3.026620689655171994e-04,1.116250319917102570e+04,1.626660156249999822e+00,4.304741961996553812e+01,1.529372186044642585e+05,1.419725007603992006e+00,1.911715232555803232e+04
3.056689655172413413e-04,1.114013709638114051e+04,1.621591186523436923e+00,4.276122556769771421e+01,1.496157863650974468e+05,1.429227000300363315e+00,1.870197329563718085e+04
3.086758620689654831e-04,1.111756685861795813e+04,1.616522216796874911e+00,4.247252197826633591e+01,1.462801473660191696e+05,1.438942057138996589e+00,1.828501842075239620e+04
3.116827586206896250e-04,1.109485114277037064e+04,1.611419677734374556e+00,4.218212399209697594e+01,1.429357967484915571e+05,1.448848288406199947e+00,1.786697459356144464e+04
3.146896551724137668e-04,1.107204870188337736e+04,1.606350708007812322e+00,4.189071382227184870e+01,1.395954743762944418e+05,1.458927112261209746e+00,1.744943429703680522e+04
3.176965517241379087e-04,1.104935152503003337e+04,1.601315307617187100e+00,4.160080157184863481e+01,1.362841885522536468e+05,1.469094244295639173e+00,1.703552356903170585e+04
3.207034482758620506e-04,1.102678234755726953e+04,1.596313476562499556e+00,4.131268272017526755e+01,1.330047392836529762e+05,1.479339856993642677e+00,1.662559241045662202e+04
3.237103448275861924e-04,1.100429730300690062e+04,1.591378784179687367e+00,4.102573517533005543e+01,1.297535245814363007e+05,1.489686848659772744e+00,1.621919057267953758e+04
3.267172413793103343e-04,1.097970431226825349e+04,1.585839843749999645e+00,4.074365541127728818e+01,1.272365888756174099e+05,1.500000368900918035e+00,1.590457360945217624e+04
3.297241379310344761e-04,1.095351707593015999e+04,1.579931640624999911e+00,4.045045906631230537e+01,1.248001301408457657e+05,1.510872794968738386e+00,1.560001626760572071e+04
3.327310344827586180e-04,1.092603882047400839e+04,1.573788452148437544e+00,4.014280340737669661e+01,1.222590664199603198e+05,1.522452169746997264e+00,1.528238330249503997e+04
3.357379310344827598e-04,1.089749474026157804e+04,1.567443847656249778e+00,3.982324368480189491e+01,1.196346114063173591e+05,1.534669014684302946e+00,1.495432642578966988e+04
3.387448275862069017e-04,1.086817189581337880e+04,1.560964965820312411e+00,3.949499739782194752e+01,1.169545798540843971e+05,1.547423779566021285e+00,1.461932248176054964e+04
3.417517241379309893e-04,1.083823758098694816e+04,1.554418945312499911e+00,3.915990028734687201e+01,1.142370392573650752e+05,1.560665315765247474e+00,1.427962990717063440e+04
3.447586206896551312e-04,1.080784627751203880e+04,1.547805786132812500e+00,3.881973576720211128e+01,1.114945926429779356e+05,1.574340910350112921e+00,1.393682408037224195e+04
3.477655172413792730e-04,1.077715410389665158e+04,1.541192626953124645e+00,3.847620679871752714e+01,1.087438077441237256e+05,1.588397174051078498e+00,1.359297596801546570e+04
3.507724137931034149e-04,1.074626272330802203e+04,1.534613037109374911e+00,3.813043620487830054e+01,1.059946975491546618e+05,1.602800917852307938e+00,1.324933719364433273e+04
3.537793103448275567e-04,1.071522728900892980e+04,1.528016662597656339e+00,3.778313492551119168e+01,1.032486903832172684e+05,1.617533808874673351e+00,1.290608629790215855e+04
3.567862068965516986e-04,1.068404057281359383e+04,1.521453857421874556e+00,3.743414693659641301e+01,1.005082924996767979e+05,1.632613620147438382e+00,1.256353656245959974e+04
