t(s),T(K),p(MPa),sigma(1/(Ohm*cm)),q(W/cm3),Rd(Ohm),Fr(W/cm)
4.079034482758620559e-04,1.017643225641324352e+04,1.420947265624999956e+00,3.178940271001923179e+01,5.812718575448841148e+04,1.922511684311253966e+00,7.265898219311051434e+03
4.109103448275861978e-04,1.014991078285089679e+04,1.416046142578125000e+00,3.149524286797546324e+01,5.605131906623169198e+04,1.940467593899089627e+00,7.006414883278961497e+03
4.139172413793103396e-04,1.012391474634750921e+04,1.411245727539062411e+00,3.120700436990062698e+01,5.402869570695562288e+04,1.958390412065123876e+00,6.753586963369452860e+03
4.169241379310344815e-04,1.009842469749086922e+04,1.406579589843749867e+00,3.092438893222948337e+01,5.205840504655472614e+04,1.976287980377619435e+00,6.507300630819340768e+03
4.199310344827585691e-04,1.007344198569549008e+04,1.402014160156249911e+00,3.064747458931074675e+01,5.013856343020203349e+04,1.994144671502680044e+00,6.267320428775254186e+03
4.229379310344827110e-04,1.004900786701248217e+04,1.397583007812500000e+00,3.037665845890411731e+01,4.827249114652760181e+04,2.011923010885794394e+00,6.034061393315950227e+03
4.259448275862068528e-04,1.002519490692662475e+04,1.393319702148437367e+00,3.011269493507435513e+01,4.646552630755802238e+04,2.029559236695960056e+00,5.808190788444752798e+03
4.289517241379309947e-04,1.000196287874762311e+04,1.389157104492187322e+00,2.985525615769850916e+01,4.471183580459425139e+04,2.047059915495935467e+00,5.588979475574281423e+03
4.319586206896551366e-04,9.977075437333845912e+03,1.384457397460937544e+00,2.962027120747033493e+01,4.370388038773057633e+04,2.063299748986574755e+00,5.462985048466322041e+03
4.349655172413792784e-04,9.951029179298577219e+03,1.379556274414062367e+00,2.937791486292666576e+01,4.273301190026842232e+04,2.080321167531608673e+00,5.341626487533552790e+03
4.379724137931034203e-04,9.923863109895914022e+03,1.374487304687499911e+00,2.912504882614661739e+01,4.172762904580528266e+04,2.098382684681448396e+00,5.215953630725660332e+03
4.409793103448275621e-04,9.895694800166858840e+03,1.369250488281249734e+00,2.886281353622790391e+01,4.069208952629328996e+04,2.117447700328213500e+00,5.086511190786661246e+03
4.439862068965517040e-04,9.866667586393456077e+03,1.363912963867187189e+00,2.859245836389543172e+01,3.963340213137202954e+04,2.137469166500919115e+00,4.954175266421503693e+03
4.469931034482758458e-04,9.836934130946796358e+03,1.358474731445312500e+00,2.831546413414876895e+01,3.855680806242107792e+04,2.158378822884341464e+00,4.819601007802634740e+03
4.499999999999999877e-04,9.806656604968293323e+03,1.352969360351562456e+00,2.803333341145416213e+01,3.746867489561004913e+04,2.180100997989649958e+00,4.683584361951256142e+03
